filename,width,height,class,xmin,ymin,xmax,ymax
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,311,171,455,312
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,400,173,540,299
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,395,15,544,190
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,321,33,430,171
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,6,111,142,266
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,486,212,630,355
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,107,141,247,283
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,519,42,623,188
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,91,330,201,460
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,165,321,315,478
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,215,40,339,180
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,366,469,503,629
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,63,445,196,588
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,275,333,411,480
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,248,449,425,640
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,0,306,100,427
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,223,177,334,286
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,170,454,307,619
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,9,23,152,140
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,562,363,640,518
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,463,490,610,621
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,117,11,236,140
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,411,324,601,516
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,585,500,640,604
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,0,111,52,265
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,16,447,106,603
sehat18_jpg.rf.17fd569575694a0ef156e86ebe21eb7e.jpg,640,640,Kubis Sehat,557,145,630,235
tidak-sehat_jpeg.rf.0ebdc6b7ca81ee9f998d83a45a2b5b03.jpg,640,640,Kubis Tidak Sehat,0,0,640,640
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,358,389,463,504
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,218,236,339,329
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,88,254,222,367
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,482,357,584,461
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,8,304,105,407
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,226,318,334,415
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,278,43,374,137
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,193,554,275,638
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,248,437,327,539
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,510,138,614,263
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,153,343,246,440
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,214,59,287,143
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,470,248,572,335
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,20,513,125,618
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,540,446,635,547
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,356,292,431,363
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,153,442,263,560
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,122,65,233,177
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,330,172,443,277
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,20,411,132,505
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,4,118,81,212
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,59,96,148,199
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,51,20,129,93
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,127,0,214,75
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,389,507,479,614
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,325,525,404,623
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,264,532,343,629
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,122,570,206,640
sehat15_jpg.rf.0e4d010032b15d5b551e4800585fdb4a.jpg,640,640,Kubis Sehat,410,12,504,89
download-24-_jpeg.rf.0fe09724325710da2ac3e9cafd675d71.jpg,640,640,Bukan Kubis,0,0,640,640
download-14-_jpeg.rf.2a43c4aa31b9897b701a05641b4bdda8.jpg,640,640,Bukan Kubis,103,105,626,540
download-16-_jpeg.rf.1d9bfe58c4a5a5e0b9cfe40240707ee4.jpg,640,640,Bukan Kubis,39,28,543,640
headline-tes-kepribadian-sederhana-kamu-orang-yang-seperti-apa-sih_jpg.rf.0747aa3e180064df08bcdaf7bcab1985.jpg,640,640,Bukan Kubis,51,0,553,640
download-8-_jpeg.rf.27a6f1f352c9bdcb4640323b6e5aba2d.jpg,640,640,Bukan Kubis,67,76,349,624
download_jpeg.rf.2ac03010e74d602c6964ec45b8f62ae5.jpg,640,640,Bukan Kubis,166,0,530,616
